,Date,Open,High,Low,Close,Volume,Open Interest
79,3/16/2020,2497.0,2497.0,2300.0,2338,189.0,230.0
80,3/17/2020,2372.0,2390.0,2251.0,2266,144.0,242.0
81,3/18/2020,2184.0,2262.0,1875.0,1910,661.0,416.0
82,3/19/2020,1900.0,2150.0,1881.0,2130,1368.0,484.0
83,3/20/2020,2215.0,2296.0,1955.0,2075,6065.0,609.0
84,3/23/2020,1992.0,2041.0,1919.0,2008,3636.0,657.0
85,3/24/2020,2088.0,2170.0,2070.0,2082,2288.0,709.0
86,3/25/2020,2165.0,2195.0,2075.0,2164,2458.0,760.0
87,3/26/2020,2144.0,2147.0,1992.0,2001,2658.0,904.0
88,3/27/2020,2025.0,2032.0,1930.0,1952,3117.0,1122.0
89,3/30/2020,1890.0,1993.0,1880.0,1907,2487.0,1296.0
90,3/31/2020,1962.0,1990.0,1948.0,1977,1571.0,1418.0
91,4/1/2020,1919.0,1927.0,1873.0,1917,2125.0,1545.0
92,4/3/2020,1950.0,2283.0,1950.0,2245,12326.0,1735.0
93,4/7/2020,2334.0,2395.0,2334.0,2378,6869.0,3188.0
94,4/8/2020,2345.0,2345.0,2250.0,2273,8363.0,3494.0
95,4/9/2020,2305.0,2458.0,2300.0,2410,8088.0,2723.0
96,4/13/2020,2314.0,2320.0,2194.0,2246,12769.0,2896.0
97,4/15/2020,2200.0,2200.0,2047.0,2090,19843.0,4919.0
98,4/16/2020,2086.0,2121.0,2076.0,2106,11838.0,6321.0
99,4/17/2020,2095.0,2095.0,1968.0,2014,28347.0,9602.0
100,4/21/2020,1727.0,1727.0,1221.0,1324,262311.0,12533.0
101,4/22/2020,1272.0,1272.0,848.0,937,111720.0,13524.0
102,4/23/2020,960.0,1424.0,960.0,1289,226957.0,11316.0
103,4/24/2020,1340.0,1405.0,1218.0,1350,261565.0,10369.0
104,4/27/2020,1296.0,1296.0,941.0,1066,232376.0,11286.0
105,4/28/2020,1024.0,1064.0,795.0,1005,328816.0,11658.0
106,4/29/2020,1045.0,1276.0,1030.0,1183,262931.0,10260.0
107,4/30/2020,1230.0,1423.0,1230.0,1315,197651.0,7095.0
108,5/1/2020,1360.0,1555.0,1360.0,1518,73049.0,6759.0
109,5/4/2020,1458.0,1572.0,1386.0,1555,164325.0,6247.0
110,5/5/2020,1600.0,1924.0,1600.0,1869,146698.0,5669.0
111,5/6/2020,1891.0,1964.0,1745.0,1801,188216.0,5252.0
112,5/7/2020,1849.0,2043.0,1785.0,1834,175665.0,5367.0
113,5/8/2020,1827.0,1906.0,1776.0,1837,166915.0,5143.0
114,5/11/2020,1845.0,1947.0,1805.0,1845,155057.0,4824.0
